symbol,exchange,ngành
AAA,HOSE,Hóa chất
AAM,HOSE,Thực phẩm & Đồ uống
AAT,HOSE,Personal & Household Goods
ABR,HOSE,Industrial Goods & Services
ABS,HOSE,Hóa chất
ABT,HOSE,Thực phẩm & Đồ uống
ACB,HOSE,Banks
ACC,HOSE,Construction & Materials
ACG,HOSE,Basic Resources
ACL,HOSE,Thực phẩm & Đồ uống
ADG,HOSE,Media
ADP,HOSE,Construction & Materials
ADS,HOSE,Personal & Household Goods
AGG,HOSE,Bất động sản
AGR,HOSE,Financial Services
ANV,HOSE,Thực phẩm & Đồ uống
APG,HOSE,Financial Services
APH,HOSE,Industrial Goods & Services
ASG,HOSE,Industrial Goods & Services
ASM,HOSE,Thực phẩm & Đồ uống
ASP,HOSE,"Điện, nước & xăng dầu khí đốt"
AST,HOSE,Bán lẻ
BAF,HOSE,Thực phẩm & Đồ uống
BBC,HOSE,Thực phẩm & Đồ uống
BCE,HOSE,Construction & Materials
BCG,HOSE,Financial Services
BCM,HOSE,Bất động sản
BFC,HOSE,Hóa chất
BHN,HOSE,Thực phẩm & Đồ uống
BIC,HOSE,Bảo hiểm
BID,HOSE,Banks
BKG,HOSE,Personal & Household Goods
BMC,HOSE,Basic Resources
BMI,HOSE,Bảo hiểm
BMP,HOSE,Construction & Materials
BRC,HOSE,Hóa chất
BSI,HOSE,Financial Services
BSR,HOSE,Dầu khí
BTP,HOSE,"Điện, nước & xăng dầu khí đốt"
BTT,HOSE,Bán lẻ
BVH,HOSE,Bảo hiểm
BWE,HOSE,"Điện, nước & xăng dầu khí đốt"
C32,HOSE,Construction & Materials
C47,HOSE,Construction & Materials
CCC,HOSE,Construction & Materials
CCI,HOSE,"Điện, nước & xăng dầu khí đốt"
CCL,HOSE,Bất động sản
CDC,HOSE,Construction & Materials
CHP,HOSE,"Điện, nước & xăng dầu khí đốt"
CIG,HOSE,Construction & Materials
CII,HOSE,Construction & Materials
CKG,HOSE,Bất động sản
CLC,HOSE,Personal & Household Goods
CLL,HOSE,Industrial Goods & Services
CLW,HOSE,"Điện, nước & xăng dầu khí đốt"
CMG,HOSE,Công nghệ
CMV,HOSE,Bán lẻ
CMX,HOSE,Thực phẩm & Đồ uống
CNG,HOSE,"Điện, nước & xăng dầu khí đốt"
COM,HOSE,Bán lẻ
CRC,HOSE,Construction & Materials
CRE,HOSE,Bất động sản
CSM,HOSE,Automobiles & Parts
CSV,HOSE,Hóa chất
CTD,HOSE,Construction & Materials
CTF,HOSE,Automobiles & Parts
CTG,HOSE,Banks
CTI,HOSE,Construction & Materials
CTR,HOSE,Construction & Materials
CTS,HOSE,Financial Services
CVT,HOSE,Construction & Materials
D2D,HOSE,Bất động sản
DAH,HOSE,Travel & Leisure
DAT,HOSE,Thực phẩm & Đồ uống
DBC,HOSE,Thực phẩm & Đồ uống
DBD,HOSE,Health Care
DBT,HOSE,Health Care
DC4,HOSE,Construction & Materials
DCL,HOSE,Health Care
DCM,HOSE,Hóa chất
DGC,HOSE,Hóa chất
DGW,HOSE,Bán lẻ
DHA,HOSE,Construction & Materials
DHC,HOSE,Basic Resources
DHG,HOSE,Health Care
DHM,HOSE,Basic Resources
DIG,HOSE,Bất động sản
DLG,HOSE,Construction & Materials
DMC,HOSE,Health Care
DPG,HOSE,Construction & Materials
DPM,HOSE,Hóa chất
DPR,HOSE,Hóa chất
DQC,HOSE,Personal & Household Goods
DRC,HOSE,Automobiles & Parts
DRH,HOSE,Bất động sản
DRL,HOSE,"Điện, nước & xăng dầu khí đốt"
DSC,HOSE,Financial Services
DSE,HOSE,Financial Services
DSN,HOSE,Travel & Leisure
DTA,HOSE,Bất động sản
DTL,HOSE,Basic Resources
DTT,HOSE,Hóa chất
DVP,HOSE,Industrial Goods & Services
DXG,HOSE,Bất động sản
DXS,HOSE,Bất động sản
DXV,HOSE,Construction & Materials
E1VFVN30,HOSE,
EIB,HOSE,Banks
ELC,HOSE,Công nghệ
EVE,HOSE,Personal & Household Goods
EVF,HOSE,Financial Services
EVG,HOSE,Construction & Materials
FCM,HOSE,Construction & Materials
FCN,HOSE,Construction & Materials
FDC,HOSE,Bất động sản
FIR,HOSE,Bất động sản
FIT,HOSE,Health Care
FMC,HOSE,Thực phẩm & Đồ uống
FPT,HOSE,Công nghệ
FRT,HOSE,Bán lẻ
FTS,HOSE,Financial Services
FUCTVGF3,HOSE,
FUCTVGF4,HOSE,
FUCTVGF5,HOSE,
FUCVREIT,HOSE,
FUEABVND,HOSE,
FUEBFVND,HOSE,
FUEDCMID,HOSE,
FUEFCV50,HOSE,
FUEIP100,HOSE,
FUEKIV30,HOSE,
FUEKIVFS,HOSE,
FUEKIVND,HOSE,
FUEMAV30,HOSE,
FUEMAVND,HOSE,
FUESSV30,HOSE,
FUESSV50,HOSE,
FUESSVFL,HOSE,
FUETCC50,HOSE,
FUEVFVND,HOSE,
FUEVN100,HOSE,
GAS,HOSE,"Điện, nước & xăng dầu khí đốt"
GDT,HOSE,Personal & Household Goods
GEE,HOSE,Industrial Goods & Services
GEG,HOSE,"Điện, nước & xăng dầu khí đốt"
GEX,HOSE,Industrial Goods & Services
GIL,HOSE,Personal & Household Goods
GMD,HOSE,Industrial Goods & Services
GMH,HOSE,Construction & Materials
GSP,HOSE,Industrial Goods & Services
GTA,HOSE,Basic Resources
GVR,HOSE,Hóa chất
HAG,HOSE,Thực phẩm & Đồ uống
HAH,HOSE,Industrial Goods & Services
HAP,HOSE,Basic Resources
HAR,HOSE,Bất động sản
HAS,HOSE,Construction & Materials
HAX,HOSE,Automobiles & Parts
HCD,HOSE,Hóa chất
HCM,HOSE,Financial Services
HDB,HOSE,Banks
HDC,HOSE,Bất động sản
HDG,HOSE,Bất động sản
HHP,HOSE,Basic Resources
HHS,HOSE,Automobiles & Parts
HHV,HOSE,Construction & Materials
HID,HOSE,Construction & Materials
HII,HOSE,Hóa chất
HMC,HOSE,Basic Resources
HNA,HOSE,"Điện, nước & xăng dầu khí đốt"
HPG,HOSE,Basic Resources
HPX,HOSE,Bất động sản
HQC,HOSE,Bất động sản
HRC,HOSE,Hóa chất
HSG,HOSE,Basic Resources
HSL,HOSE,
HT1,HOSE,Construction & Materials
HTG,HOSE,Personal & Household Goods
HTI,HOSE,Construction & Materials
HTL,HOSE,Automobiles & Parts
HTN,HOSE,Bất động sản
HTV,HOSE,Industrial Goods & Services
HU1,HOSE,Construction & Materials
HUB,HOSE,Construction & Materials
HVH,HOSE,Construction & Materials
HVN,HOSE,Travel & Leisure
HVX,HOSE,Construction & Materials
ICT,HOSE,Công nghệ
IDI,HOSE,Thực phẩm & Đồ uống
IJC,HOSE,Bất động sản
ILB,HOSE,Industrial Goods & Services
IMP,HOSE,Health Care
ITC,HOSE,Bất động sản
ITD,HOSE,Công nghệ
JVC,HOSE,Health Care
KBC,HOSE,Bất động sản
KDC,HOSE,Thực phẩm & Đồ uống
